date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
2020-02-15,6.0,2.0,23.0,-1.0,1.0,-1.0
2020-02-16,8.0,-2.0,30.0,8.0,1.0,-1.0
2020-02-17,6.0,2.0,48.0,-36.0,-59.0,11.0
2020-02-18,-3.0,2.0,16.0,-3.0,1.0,0.0
2020-02-19,-2.0,-2.0,6.0,-1.0,0.0,0.0
2020-02-20,3.0,-1.0,16.0,1.0,0.0,0.0
2020-02-21,0.0,1.0,14.0,0.0,3.0,0.0
2020-02-22,0.0,0.0,4.0,-5.0,3.0,0.0
2020-02-23,2.0,1.0,16.0,1.0,4.0,0.0
2020-02-24,3.0,2.0,15.0,1.0,2.0,0.0
2020-02-25,10.0,4.0,31.0,4.0,3.0,-1.0
2020-02-26,4.0,3.0,13.0,1.0,0.0,0.0
2020-02-27,5.0,3.0,20.0,4.0,1.0,-1.0
2020-02-28,-1.0,5.0,6.0,-2.0,2.0,0.0
2020-02-29,-5.0,3.0,-7.0,-13.0,2.0,1.0
2020-03-01,-4.0,4.0,1.0,-5.0,4.0,0.0
2020-03-02,-2.0,10.0,13.0,-6.0,0.0,1.0
2020-03-03,1.0,12.0,12.0,-3.0,-1.0,1.0
2020-03-04,-4.0,5.0,0.0,-4.0,-2.0,2.0
2020-03-05,-4.0,6.0,-8.0,-9.0,-4.0,2.0
2020-03-06,-9.0,6.0,-15.0,-17.0,-8.0,5.0
2020-03-07,-12.0,1.0,-19.0,-24.0,0.0,4.0
2020-03-08,-13.0,-4.0,-8.0,-18.0,-2.0,3.0
2020-03-09,-8.0,7.0,2.0,-22.0,-18.0,8.0
2020-03-10,-6.0,10.0,9.0,-24.0,-21.0,9.0
2020-03-11,-13.0,8.0,3.0,-30.0,-26.0,11.0
2020-03-12,-17.0,16.0,-4.0,-35.0,-32.0,14.0
2020-03-13,-26.0,17.0,-16.0,-40.0,-35.0,15.0
2020-03-14,-41.0,1.0,-54.0,-48.0,-13.0,11.0
2020-03-15,-42.0,-1.0,-35.0,-41.0,-15.0,10.0
2020-03-16,-32.0,32.0,-20.0,-52.0,-54.0,20.0
2020-03-17,-64.0,-11.0,-27.0,-70.0,-72.0,32.0
2020-03-18,-67.0,-18.0,-35.0,-72.0,-73.0,33.0
2020-03-19,-66.0,-16.0,-25.0,-71.0,-73.0,33.0
2020-03-20,-69.0,-16.0,-36.0,-70.0,-72.0,34.0
2020-03-21,-73.0,-22.0,-38.0,-65.0,-49.0,20.0
2020-03-22,-72.0,-30.0,-34.0,-62.0,-48.0,19.0
2020-03-23,-68.0,-28.0,-50.0,-74.0,-76.0,34.0
2020-03-24,-70.0,-28.0,-54.0,-75.0,-76.0,36.0
2020-03-25,-70.0,-25.0,-40.0,-74.0,-76.0,34.0
2020-03-26,-70.0,-26.0,-39.0,-74.0,-77.0,36.0
2020-03-27,-72.0,-27.0,-48.0,-73.0,-74.0,36.0
2020-03-28,-76.0,-32.0,-64.0,-69.0,-54.0,23.0
2020-03-29,-75.0,-37.0,-55.0,-66.0,-53.0,21.0
2020-03-30,-67.0,-29.0,-38.0,-73.0,-76.0,33.0
2020-03-31,-69.0,-28.0,-38.0,-73.0,-77.0,35.0
2020-04-01,-69.0,-28.0,-40.0,-73.0,-77.0,34.0
2020-04-02,-70.0,-28.0,-41.0,-74.0,-77.0,36.0
2020-04-03,-71.0,-29.0,-46.0,-72.0,-75.0,35.0
2020-04-04,-79.0,-39.0,-77.0,-72.0,-56.0,24.0
2020-04-05,-77.0,-41.0,-65.0,-70.0,-54.0,22.0
2020-04-06,-73.0,-40.0,-66.0,-78.0,-78.0,36.0
2020-04-07,-70.0,-28.0,-31.0,-74.0,-78.0,35.0
2020-04-08,-72.0,-34.0,-52.0,-75.0,-78.0,35.0
2020-04-09,-72.0,-32.0,-44.0,-76.0,-78.0,36.0
2020-04-10,-73.0,-32.0,-43.0,-74.0,-76.0,36.0
2020-04-11,-77.0,-33.0,-59.0,-70.0,-54.0,22.0
2020-04-12,-79.0,-48.0,-48.0,-67.0,-53.0,20.0
2020-04-13,-70.0,-36.0,-39.0,-75.0,-77.0,34.0
2020-04-14,-71.0,-34.0,-22.0,-74.0,-77.0,34.0
2020-04-15,-73.0,-35.0,-41.0,-74.0,-77.0,35.0
2020-04-16,-77.0,-37.0,-51.0,-75.0,-77.0,37.0
2020-04-17,-77.0,-36.0,-55.0,-74.0,-74.0,36.0
2020-04-18,-79.0,-36.0,-43.0,-65.0,-50.0,21.0
2020-04-19,-78.0,-42.0,-38.0,-62.0,-50.0,19.0
2020-04-20,-75.0,-39.0,-44.0,-74.0,-77.0,34.0
2020-04-21,-74.0,-36.0,-32.0,-74.0,-77.0,35.0
2020-04-22,-75.0,-36.0,-37.0,-74.0,-76.0,35.0
2020-04-23,-76.0,-37.0,-36.0,-75.0,-77.0,36.0
2020-04-24,-76.0,-35.0,-32.0,-72.0,-74.0,35.0
2020-04-25,-77.0,-36.0,-33.0,-64.0,-49.0,20.0
2020-04-26,-77.0,-41.0,-38.0,-62.0,-50.0,19.0
2020-04-27,-73.0,-37.0,-33.0,-73.0,-76.0,33.0
2020-04-28,-73.0,-35.0,-24.0,-72.0,-76.0,25.0
2020-04-29,-75.0,-38.0,-50.0,-74.0,-76.0,34.0
2020-04-30,-73.0,-34.0,-41.0,-74.0,-76.0,35.0
2020-05-01,-72.0,-32.0,-34.0,-70.0,-73.0,34.0
2020-05-02,-75.0,-32.0,-41.0,-64.0,-47.0,20.0
2020-05-03,-72.0,-37.0,-19.0,-57.0,-44.0,17.0
2020-05-04,-68.0,-33.0,-29.0,-71.0,-74.0,32.0
2020-05-05,-68.0,-30.0,-25.0,-71.0,-74.0,33.0
2020-05-06,-71.0,-32.0,-25.0,-71.0,-74.0,33.0
2020-05-07,-71.0,-30.0,-24.0,-71.0,-74.0,33.0
2020-05-08,-72.0,-30.0,-32.0,-69.0,-71.0,33.0
2020-05-09,-74.0,-28.0,-41.0,-62.0,-43.0,18.0
2020-05-10,-72.0,-33.0,-33.0,-58.0,-40.0,15.0
2020-05-11,-71.0,-37.0,-48.0,-74.0,-73.0,33.0
2020-05-12,-70.0,-31.0,-27.0,-71.0,-73.0,33.0
2020-05-13,-71.0,-33.0,-41.0,-71.0,-73.0,33.0
2020-05-14,-72.0,-34.0,-48.0,-73.0,-74.0,34.0
2020-05-15,-70.0,-30.0,-29.0,-71.0,-70.0,31.0
2020-05-16,-72.0,-29.0,-25.0,-65.0,-42.0,17.0
2020-05-17,-71.0,-35.0,-25.0,-62.0,-38.0,17.0
2020-05-18,-68.0,-32.0,-31.0,-73.0,-72.0,31.0
2020-05-19,-67.0,-28.0,-20.0,-72.0,-72.0,32.0
2020-05-20,-67.0,-30.0,-22.0,-72.0,-71.0,31.0
2020-05-21,-67.0,-28.0,-21.0,-72.0,-71.0,32.0
2020-05-22,-67.0,-24.0,-16.0,-69.0,-67.0,29.0
2020-05-23,-70.0,-27.0,-11.0,-59.0,-34.0,15.0
2020-05-24,-67.0,-29.0,10.0,-55.0,-34.0,13.0
2020-05-25,-65.0,-29.0,36.0,-74.0,-81.0,27.0
2020-05-26,-66.0,-26.0,-5.0,-71.0,-70.0,30.0
2020-05-27,-66.0,-29.0,-16.0,-70.0,-69.0,31.0
2020-05-28,-67.0,-30.0,-29.0,-71.0,-69.0,32.0
2020-05-29,-68.0,-28.0,-31.0,-70.0,-65.0,31.0
2020-05-30,-71.0,-30.0,-34.0,-60.0,-27.0,17.0
2020-05-31,-71.0,-36.0,-25.0,-58.0,-27.0,16.0
2020-06-01,-66.0,-32.0,-29.0,-71.0,-69.0,30.0
2020-06-02,-66.0,-29.0,-8.0,-72.0,-69.0,31.0
2020-06-03,-65.0,-28.0,-2.0,-69.0,-69.0,30.0
2020-06-04,-66.0,-26.0,-19.0,-71.0,-69.0,31.0
2020-06-05,-68.0,-26.0,-38.0,-69.0,-65.0,30.0
2020-06-06,-69.0,-26.0,-20.0,-61.0,-26.0,15.0
2020-06-07,-67.0,-29.0,-16.0,-57.0,-27.0,14.0
2020-06-08,-63.0,-25.0,-19.0,-70.0,-68.0,28.0
2020-06-09,-64.0,-24.0,-2.0,-70.0,-67.0,29.0
2020-06-10,-65.0,-28.0,-15.0,-70.0,-67.0,29.0
2020-06-11,-65.0,-30.0,-20.0,-70.0,-67.0,30.0
2020-06-12,-66.0,-29.0,-26.0,-69.0,-63.0,28.0
2020-06-13,-65.0,-29.0,-6.0,-57.0,-23.0,13.0
2020-06-14,-65.0,-33.0,-6.0,-56.0,-24.0,12.0
2020-06-15,-61.0,-30.0,-20.0,-69.0,-67.0,28.0
2020-06-16,-61.0,-27.0,-3.0,-68.0,-67.0,28.0
2020-06-17,-61.0,-27.0,-6.0,-68.0,-66.0,27.0
2020-06-18,-61.0,-24.0,-5.0,-69.0,-67.0,28.0
2020-06-19,-62.0,-25.0,-20.0,-67.0,-63.0,25.0
2020-06-20,-64.0,-27.0,-16.0,-58.0,-21.0,12.0
2020-06-21,-63.0,-31.0,-14.0,-56.0,-20.0,10.0
2020-06-22,-61.0,-29.0,-22.0,-69.0,-68.0,27.0
2020-06-23,-61.0,-27.0,-13.0,-68.0,-68.0,28.0
2020-06-24,-61.0,-27.0,-16.0,-68.0,-66.0,27.0
2020-06-25,-61.0,-29.0,-22.0,-70.0,-66.0,28.0
2020-06-26,-63.0,-28.0,-24.0,-67.0,-63.0,27.0
2020-06-27,-65.0,-29.0,-22.0,-58.0,-25.0,13.0
2020-06-28,-62.0,-31.0,-8.0,-55.0,-18.0,11.0
2020-06-29,-57.0,-27.0,-15.0,-69.0,-66.0,26.0
2020-06-30,-57.0,-26.0,-9.0,-69.0,-66.0,26.0
2020-07-01,-58.0,-24.0,-22.0,-68.0,-66.0,26.0
2020-07-02,-56.0,-21.0,-16.0,-68.0,-67.0,24.0
2020-07-03,-60.0,-23.0,-15.0,-70.0,-72.0,25.0
2020-07-04,-69.0,-35.0,-17.0,-63.0,-32.0,13.0
2020-07-05,-62.0,-34.0,-17.0,-59.0,-23.0,9.0
2020-07-06,-56.0,-26.0,-20.0,-69.0,-68.0,25.0
2020-07-07,-57.0,-25.0,-9.0,-69.0,-68.0,27.0
2020-07-08,-59.0,-28.0,-18.0,-69.0,-66.0,27.0
2020-07-09,-59.0,-26.0,-17.0,-69.0,-67.0,27.0
2020-07-10,-60.0,-26.0,-26.0,-68.0,-63.0,26.0
2020-07-11,-60.0,-25.0,-8.0,-59.0,-22.0,12.0
2020-07-12,-57.0,-28.0,-1.0,-57.0,-22.0,11.0
2020-07-13,-58.0,-30.0,-31.0,-70.0,-67.0,27.0
2020-07-14,-57.0,-26.0,-15.0,-70.0,-67.0,27.0
2020-07-15,-59.0,-29.0,-25.0,-70.0,-66.0,27.0
2020-07-16,-59.0,-28.0,-29.0,-71.0,-67.0,28.0
2020-07-17,-59.0,-27.0,-24.0,-69.0,-63.0,26.0
2020-07-18,-60.0,-26.0,-15.0,-61.0,-22.0,12.0
2020-07-19,-58.0,-31.0,-17.0,-59.0,-22.0,11.0
2020-07-20,-58.0,-31.0,-29.0,-70.0,-68.0,26.0
2020-07-21,-58.0,-28.0,-16.0,-71.0,-68.0,27.0
2020-07-22,-59.0,-29.0,-23.0,-70.0,-66.0,27.0
2020-07-23,-59.0,-29.0,-24.0,-71.0,-66.0,27.0
2020-07-24,-61.0,-30.0,-34.0,-70.0,-63.0,26.0
2020-07-25,-59.0,-26.0,-6.0,-60.0,-23.0,11.0
2020-07-26,-57.0,-31.0,-8.0,-58.0,-22.0,10.0
2020-07-27,-57.0,-30.0,-26.0,-71.0,-68.0,26.0
2020-07-28,-59.0,-30.0,-21.0,-70.0,-67.0,27.0
2020-07-29,-60.0,-29.0,-26.0,-71.0,-67.0,26.0
2020-07-30,-60.0,-29.0,-25.0,-71.0,-67.0,27.0
2020-07-31,-60.0,-27.0,-17.0,-67.0,-63.0,25.0
2020-08-01,-61.0,-27.0,-11.0,-58.0,-25.0,11.0
2020-08-02,-59.0,-30.0,-8.0,-57.0,-24.0,10.0
2020-08-03,-57.0,-27.0,-18.0,-69.0,-68.0,25.0
2020-08-04,-59.0,-27.0,-20.0,-70.0,-69.0,27.0
2020-08-05,-59.0,-29.0,-27.0,-71.0,-67.0,27.0
2020-08-06,-58.0,-26.0,-15.0,-70.0,-67.0,27.0
2020-08-07,-59.0,-26.0,-18.0,-68.0,-64.0,25.0
2020-08-08,-59.0,-27.0,-7.0,-58.0,-25.0,11.0
2020-08-09,-57.0,-31.0,-6.0,-57.0,-23.0,10.0
2020-08-10,-57.0,-28.0,-26.0,-71.0,-68.0,26.0
2020-08-11,-58.0,-29.0,-16.0,-71.0,-68.0,27.0
2020-08-12,-59.0,-30.0,-21.0,-71.0,-67.0,26.0
2020-08-13,-59.0,-29.0,-12.0,-70.0,-67.0,26.0
2020-08-14,-58.0,-26.0,-3.0,-67.0,-64.0,23.0
2020-08-15,-58.0,-24.0,8.0,-58.0,-26.0,10.0
2020-08-16,-58.0,-33.0,-14.0,-59.0,-27.0,11.0
2020-08-17,-58.0,-30.0,-21.0,-71.0,-69.0,25.0
2020-08-18,-58.0,-27.0,-10.0,-70.0,-68.0,26.0
2020-08-19,-61.0,-31.0,-29.0,-72.0,-68.0,27.0
2020-08-20,-60.0,-29.0,-30.0,-72.0,-68.0,27.0
2020-08-21,-60.0,-29.0,-30.0,-69.0,-64.0,26.0
2020-08-22,-58.0,-26.0,-13.0,-59.0,-27.0,12.0
2020-08-23,-58.0,-32.0,-24.0,-60.0,-26.0,12.0
2020-08-24,-58.0,-30.0,-33.0,-72.0,-69.0,26.0
2020-08-25,-59.0,-28.0,-28.0,-71.0,-68.0,27.0
2020-08-26,-60.0,-32.0,-37.0,-71.0,-67.0,27.0
2020-08-27,-59.0,-31.0,-30.0,-71.0,-67.0,27.0
2020-08-28,-61.0,-33.0,-41.0,-69.0,-64.0,26.0
2020-08-29,-59.0,-29.0,-27.0,-59.0,-26.0,12.0
2020-08-30,-57.0,-32.0,-21.0,-58.0,-24.0,10.0
2020-08-31,-59.0,-32.0,-36.0,-71.0,-68.0,26.0
2020-09-01,-57.0,-27.0,-28.0,-70.0,-68.0,26.0
2020-09-02,-59.0,-29.0,-29.0,-70.0,-67.0,25.0
2020-09-03,-58.0,-29.0,-33.0,-70.0,-68.0,26.0
2020-09-04,-58.0,-27.0,-26.0,-68.0,-65.0,22.0
2020-09-05,-55.0,-27.0,0.0,-55.0,-27.0,9.0
2020-09-06,-47.0,-26.0,25.0,-51.0,-27.0,9.0
2020-09-07,-52.0,-30.0,24.0,-75.0,-81.0,23.0
2020-09-08,-58.0,-30.0,-33.0,-71.0,-69.0,25.0
2020-09-09,-64.0,-36.0,-43.0,-73.0,-69.0,28.0
2020-09-10,-63.0,-33.0,-54.0,-73.0,-68.0,28.0
2020-09-11,-64.0,-33.0,-55.0,-71.0,-64.0,27.0
2020-09-12,-62.0,-30.0,-51.0,-62.0,-26.0,14.0
2020-09-13,-61.0,-35.0,-50.0,-63.0,-25.0,13.0
2020-09-14,-58.0,-31.0,-45.0,-72.0,-66.0,26.0
2020-09-15,-55.0,-28.0,-24.0,-70.0,-66.0,26.0
2020-09-16,-56.0,-31.0,-22.0,-70.0,-65.0,25.0
2020-09-17,-56.0,-30.0,-29.0,-71.0,-65.0,26.0
2020-09-18,-57.0,-29.0,-30.0,-67.0,-62.0,24.0
2020-09-19,-53.0,-26.0,-7.0,-55.0,-22.0,9.0
2020-09-20,-52.0,-30.0,-8.0,-57.0,-20.0,9.0
2020-09-21,-55.0,-30.0,-28.0,-70.0,-67.0,25.0
2020-09-22,-55.0,-29.0,-23.0,-71.0,-66.0,25.0
2020-09-23,-57.0,-30.0,-27.0,-70.0,-65.0,25.0
2020-09-24,-57.0,-29.0,-33.0,-70.0,-65.0,26.0
2020-09-25,-56.0,-29.0,-29.0,-68.0,-61.0,23.0
2020-09-26,-52.0,-25.0,-8.0,-56.0,-20.0,9.0
2020-09-27,-51.0,-29.0,-4.0,-58.0,-19.0,8.0
2020-09-28,-55.0,-30.0,-32.0,-71.0,-67.0,25.0
2020-09-29,-56.0,-30.0,-35.0,-73.0,-66.0,25.0
2020-09-30,-56.0,-27.0,-32.0,-72.0,-65.0,24.0
2020-10-01,-57.0,-26.0,-42.0,-72.0,-64.0,26.0
2020-10-02,-57.0,-28.0,-45.0,-69.0,-61.0,24.0
2020-10-03,-51.0,-24.0,-15.0,-57.0,-21.0,10.0
2020-10-04,-50.0,-30.0,-21.0,-57.0,-20.0,9.0
2020-10-05,-54.0,-27.0,-36.0,-72.0,-66.0,24.0
2020-10-06,-54.0,-27.0,-34.0,-72.0,-66.0,25.0
2020-10-07,-57.0,-31.0,-41.0,-72.0,-65.0,25.0
2020-10-08,-57.0,-30.0,-41.0,-70.0,-65.0,26.0
2020-10-09,-56.0,-28.0,-33.0,-67.0,-61.0,23.0
2020-10-10,-52.0,-26.0,-23.0,-53.0,-19.0,10.0
2020-10-11,-49.0,-30.0,-7.0,-51.0,-17.0,8.0
2020-10-12,-52.0,-28.0,-17.0,-71.0,-69.0,23.0
2020-10-13,-54.0,-27.0,-22.0,-70.0,-65.0,25.0
2020-10-14,-55.0,-28.0,-24.0,-69.0,-64.0,24.0
2020-10-15,-54.0,-27.0,-24.0,-68.0,-64.0,25.0
2020-10-16,-54.0,-27.0,-22.0,-65.0,-61.0,22.0
2020-10-17,-50.0,-23.0,-4.0,-47.0,-20.0,8.0
2020-10-18,-49.0,-29.0,-10.0,-50.0,-19.0,8.0
2020-10-19,-54.0,-29.0,-33.0,-70.0,-66.0,24.0
2020-10-20,-54.0,-27.0,-26.0,-70.0,-65.0,25.0
2020-10-21,-55.0,-28.0,-29.0,-69.0,-64.0,24.0
2020-10-22,-56.0,-28.0,-35.0,-69.0,-64.0,25.0
2020-10-23,-54.0,-27.0,-31.0,-67.0,-61.0,23.0
2020-10-24,-51.0,-25.0,-20.0,-52.0,-20.0,9.0
2020-10-25,-49.0,-30.0,-17.0,-54.0,-20.0,8.0
2020-10-26,-53.0,-26.0,-31.0,-70.0,-66.0,24.0
2020-10-27,-52.0,-26.0,-23.0,-69.0,-65.0,24.0
2020-10-28,-54.0,-28.0,-29.0,-71.0,-64.0,24.0
2020-10-29,-54.0,-28.0,-32.0,-71.0,-64.0,24.0
2020-10-30,-54.0,-25.0,-34.0,-68.0,-60.0,22.0
2020-10-31,-51.0,-21.0,-17.0,-54.0,-18.0,8.0
2020-11-01,-50.0,-30.0,-19.0,-55.0,-19.0,8.0
2020-11-02,-53.0,-25.0,-32.0,-70.0,-65.0,23.0
2020-11-03,-52.0,-23.0,-30.0,-71.0,-66.0,24.0
2020-11-04,-58.0,-32.0,-38.0,-72.0,-65.0,26.0
2020-11-05,-56.0,-30.0,-37.0,-70.0,-64.0,25.0
2020-11-06,-56.0,-31.0,-42.0,-69.0,-61.0,24.0
2020-11-07,-50.0,-25.0,-18.0,-53.0,-19.0,10.0
2020-11-08,-52.0,-33.0,-35.0,-59.0,-21.0,11.0
2020-11-09,-54.0,-30.0,-38.0,-71.0,-65.0,25.0
2020-11-10,-54.0,-29.0,-36.0,-71.0,-65.0,25.0
2020-11-11,-53.0,-30.0,-30.0,-72.0,-68.0,26.0
2020-11-12,-56.0,-29.0,-40.0,-71.0,-64.0,26.0
2020-11-13,-60.0,-33.0,-56.0,-71.0,-61.0,26.0
2020-11-14,-54.0,-26.0,-29.0,-59.0,-20.0,11.0
2020-11-15,-51.0,-32.0,-19.0,-57.0,-19.0,10.0
2020-11-16,-55.0,-29.0,-34.0,-71.0,-65.0,24.0
2020-11-17,-61.0,-36.0,-56.0,-75.0,-66.0,28.0
2020-11-18,-59.0,-30.0,-47.0,-73.0,-65.0,26.0
2020-11-19,-57.0,-28.0,-42.0,-71.0,-64.0,26.0
2020-11-20,-57.0,-28.0,-42.0,-69.0,-61.0,24.0
2020-11-21,-55.0,-28.0,-32.0,-59.0,-20.0,11.0
2020-11-22,-54.0,-32.0,-31.0,-60.0,-19.0,11.0
2020-11-23,-52.0,-25.0,-34.0,-71.0,-66.0,24.0
2020-11-24,-51.0,-21.0,-29.0,-70.0,-66.0,23.0
2020-11-25,-52.0,-12.0,-32.0,-71.0,-66.0,21.0
2020-11-26,-77.0,-42.0,-37.0,-82.0,-83.0,29.0
2020-11-27,-60.0,-42.0,-21.0,-76.0,-73.0,26.0
2020-11-28,-58.0,-38.0,-28.0,-62.0,-22.0,11.0
2020-11-29,-57.0,-39.0,-32.0,-63.0,-20.0,10.0
2020-11-30,-57.0,-31.0,-42.0,-73.0,-66.0,25.0
2020-12-01,-56.0,-28.0,-39.0,-72.0,-66.0,26.0
2020-12-02,-59.0,-31.0,-42.0,-73.0,-65.0,26.0
2020-12-03,-58.0,-29.0,-44.0,-72.0,-65.0,27.0
2020-12-04,-59.0,-29.0,-44.0,-70.0,-61.0,25.0
2020-12-05,-56.0,-28.0,-39.0,-61.0,-21.0,12.0
2020-12-06,-55.0,-32.0,-35.0,-62.0,-19.0,11.0
2020-12-07,-60.0,-31.0,-41.0,-74.0,-67.0,26.0
2020-12-08,-61.0,-30.0,-36.0,-75.0,-67.0,27.0
2020-12-09,-63.0,-32.0,-42.0,-74.0,-67.0,27.0
2020-12-10,-62.0,-31.0,-44.0,-75.0,-66.0,28.0
2020-12-11,-66.0,-33.0,-56.0,-75.0,-63.0,28.0
2020-12-12,-63.0,-30.0,-44.0,-67.0,-28.0,15.0
2020-12-13,-68.0,-43.0,-66.0,-72.0,-31.0,16.0
2020-12-14,-59.0,-31.0,-38.0,-75.0,-67.0,26.0
2020-12-15,-59.0,-31.0,-37.0,-75.0,-68.0,27.0
2020-12-16,-62.0,-32.0,-44.0,-75.0,-67.0,27.0
2020-12-17,-61.0,-31.0,-44.0,-75.0,-66.0,28.0
2020-12-18,-63.0,-31.0,-43.0,-73.0,-63.0,26.0
2020-12-19,-62.0,-30.0,-36.0,-65.0,-25.0,13.0
2020-12-20,-59.0,-34.0,-31.0,-64.0,-22.0,13.0
2020-12-21,-56.0,-27.0,-28.0,-75.0,-67.0,24.0
2020-12-22,-55.0,-22.0,-27.0,-74.0,-68.0,24.0
2020-12-23,-55.0,-17.0,-30.0,-74.0,-67.0,23.0
2020-12-24,-60.0,-15.0,-30.0,-78.0,-73.0,25.0
2020-12-25,-87.0,-68.0,-64.0,-88.0,-85.0,36.0
2020-12-26,-67.0,-41.0,-33.0,-70.0,-31.0,15.0
2020-12-27,-63.0,-42.0,-29.0,-67.0,-23.0,13.0
2020-12-28,-57.0,-32.0,-29.0,-77.0,-70.0,26.0
2020-12-29,-56.0,-28.0,-12.0,-75.0,-70.0,25.0
2020-12-30,-58.0,-26.0,-28.0,-76.0,-69.0,25.0
2020-12-31,-57.0,-14.0,-17.0,-76.0,-72.0,25.0
